R_fighter,B_fighter,date,finish,finish_details
Rani Yahya,Joe Soto,3/11/2017,U-DEC,
Michel Prazeres,Joshua Burkman,3/11/2017,SUB,North-South Choke
Rony Jason,Jeremy Kennedy,3/11/2017,U-DEC,
Garreth McLellan,Paulo Costa,3/11/2017,KO/TKO,Punch
Tyron Woodley,Stephen Thompson,3/4/2017,M-DEC,
Lando Vannata,David Teymur,3/4/2017,U-DEC,
Rashad Evans,Daniel Kelly,3/4/2017,S-DEC,
Amanda Cooper,Cynthia Calvillo,3/4/2017,SUB,Rear Naked Choke
Alistair Overeem,Mark Hunt,3/4/2017,KO/TKO,Knees
Marcin Tybura,Luis Henrique,3/4/2017,KO/TKO,Punches
Mirsad Bektic,Darren Elkins,3/4/2017,KO/TKO,Kick
Iuri Alcantara,Luke Sanders,3/4/2017,SUB,Kneebar
Mark Godbeer,Daniel Spitz,3/4/2017,U-DEC,
Tyson Pedro,Paul Craig,3/4/2017,KO/TKO,Elbows
Albert Morales,Andre Soukhamthath,3/4/2017,S-DEC,
Derrick Lewis,Travis Browne,2/19/2017,KO/TKO,Punch
Johny Hendricks,Hector Lombard,2/19/2017,U-DEC,
Sam Sicilia,Gavin Tucker,2/19/2017,U-DEC,
Elias Theodorou,Cezar Ferreira,2/19/2017,U-DEC,
Sara McMann,Gina Mazany,2/19/2017,SUB,Arm Triangle
Paul Felder,Alessandro Ricci,2/19/2017,,
Nordine Taleb,Santiago Ponzinibbio,2/19/2017,U-DEC,
Carla Esparza,Randa Markos,2/19/2017,S-DEC,
Aiemann Zahabi,Reginaldo Vieira,2/19/2017,U-DEC,
Jack Marshman,Thiago Santos,2/19/2017,KO/TKO,Kick
Gerald Meerschaert,Ryan Janes,2/19/2017,SUB,Armbar
Holly Holm,Germaine de Randamie,2/11/2017,U-DEC,
Anderson Silva,Derek Brunson,2/11/2017,U-DEC,
Jacare Souza,Tim Boetsch,2/11/2017,SUB,Kimura
Glover Teixeira,Jared Cannonier,2/11/2017,U-DEC,
Dustin Poirier,Jim Miller,2/11/2017,M-DEC,
Randy Brown,Belal Muhammad,2/11/2017,U-DEC,
Wilson Reis,Ulka Sasaki,2/11/2017,,
Nik Lentz,Islam Makhachev,2/11/2017,U-DEC,
Rick Glenn,Phillipe Nover,2/11/2017,S-DEC,
Ryan LaFlare,Roan Carneiro,2/11/2017,U-DEC,
Dennis Bermudez,Chan Sung Jung,2/4/2017,KO/TKO,Punch
Alexa Grasso,Felice Herrig,2/4/2017,U-DEC,
Abel Trujillo,James Vick,2/4/2017,SUB,D'Arce Choke
Ovince Saint Preux,Volkan Oezdemir,2/4/2017,S-DEC,
Anthony Hamilton,Marcel Fortuna,2/4/2017,KO/TKO,Punch
Jessica Andrade,Angela Hill,2/4/2017,U-DEC,
Chas Skelly,Chris Gruetzemacher,2/4/2017,SUB,Rear Naked Choke
Ricardo Ramos,Michinori Tanaka,2/4/2017,U-DEC,
Tecia Torres,Bec Rawlings,2/4/2017,U-DEC,
Daniel Jolly,Khalil Rountree Jr.,2/4/2017,KO/TKO,Knees
Valentina Shevchenko,Julianna Pena,1/28/2017,SUB,Armbar
Donald Cerrone,Jorge Masvidal,1/28/2017,KO/TKO,Punches
Andrei Arlovski,Francis Ngannou,1/28/2017,KO/TKO,Punch
Alex Caceres,Jason Knight,1/28/2017,SUB,Rear Naked Choke
Nate Marquardt,Sam Alvey,1/28/2017,U-DEC,
Raphael Assuncao,Aljamain Sterling,1/28/2017,S-DEC,
Bobby Nash,Li Jingliang,1/28/2017,,
Henrique da Silva,Jordan Johnson,1/28/2017,U-DEC,
Eric Spicely,Alessio Di Chirico,1/28/2017,SUB,Triangle Choke
Marcos Rogerio de Lima,Jeremy Kimball,1/28/2017,KO/TKO,Punches
Alexandre Pantoja,Eric Shelton,1/28/2017,S-DEC,
Jason Gonzalez,JC Cottrell,1/28/2017,SUB,D'Arce Choke
Yair Rodriguez,BJ Penn,1/15/2017,KO/TKO,Punches
Joe Lauzon,Marcin Held,1/15/2017,S-DEC,
Court McGee,Ben Saunders,1/15/2017,U-DEC,
John Moraga,Sergio Pettis,1/15/2017,U-DEC,
Devin Powell,Drakkar Klose,1/15/2017,U-DEC,
Frankie Saenz,Augusto Mendes,1/15/2017,S-DEC,
Aleksei Oleinik,Viktor Pesta,1/15/2017,SUB,Other - Choke
Anthony Rocco Martin,Alex White,1/15/2017,U-DEC,
Jocelyn Jones-Lybarger,Nina Ansaroff,1/15/2017,SUB,Rear Naked Choke
Walt Harris,Chase Sherman,1/15/2017,KO/TKO,Knee
Bojan Mihajlovic,Joachim Christensen,1/15/2017,KO/TKO,Punches
Dmitrii Smoliakov,Cyril Asker,1/15/2017,KO/TKO,Punches
Amanda Nunes,Ronda Rousey,12/30/2016,KO/TKO,Punches
Dominick Cruz,Cody Garbrandt,12/30/2016,U-DEC,
TJ Dillashaw,John Lineker,12/30/2016,U-DEC,
Dong Hyun Kim,Tarec Saffiedine,12/30/2016,S-DEC,
Louis Smolka,Ray Borg,12/30/2016,U-DEC,
Johny Hendricks,Neil Magny,12/30/2016,U-DEC,
Antonio Carlos Junior,Marvin Vettori,12/30/2016,U-DEC,
Mike Pyle,Alex Garcia,12/30/2016,KO/TKO,Punch
Brandon Thatch,Niko Price,12/30/2016,SUB,Arm Triangle
Paige VanZant,Michelle Waterson,12/17/2016,SUB,Rear Naked Choke
Sage Northcutt,Mickey Gall,12/17/2016,SUB,Rear Naked Choke
Urijah Faber,Brad Pickett,12/17/2016,U-DEC,
Alan Jouban,Mike Perry,12/17/2016,U-DEC,
Henrique da Silva,Paul Craig,12/17/2016,SUB,Armbar
Cole Miller,Mizuto Hirota,12/17/2016,U-DEC,
Bryan Barberena,Colby Covington,12/17/2016,U-DEC,
James Moontasri,Alex Morono,12/17/2016,U-DEC,
Josh Emmett,Scott Holtzman,12/17/2016,U-DEC,
Leslie Smith,Irene Aldana,12/17/2016,U-DEC,
Eddie Wineland,Takeya Mizugaki,12/17/2016,KO/TKO,Punches
Hector Sandoval,Fredy Serrano,12/17/2016,U-DEC,
Bojan Velickovic,Sultan Aliev,12/17/2016,S-DEC,
Max Holloway,Anthony Pettis,12/10/2016,KO/TKO,Punches
Donald Cerrone,Matt Brown,12/10/2016,KO/TKO,Kick
Cub Swanson,Dooho Choi,12/10/2016,U-DEC,
Tim Kennedy,Kelvin Gastelum,12/10/2016,KO/TKO,Punches
Jordan Mein,Emil Meek,12/10/2016,U-DEC,
Nikita Krylov,Misha Cirkunov,12/10/2016,SUB,Guillotine Choke
Olivier Aubin-Mercier,Drew Dober,12/10/2016,SUB,Rear Naked Choke
Valerie Letourneau,Viviane Pereira,12/10/2016,S-DEC,
Mitch Gagnon,Matthew Lopez,12/10/2016,U-DEC,
John Makdessi,Lando Vannata,12/10/2016,KO/TKO,Kick
Jason Saggo,Rustam Khabilov,12/10/2016,U-DEC,
Zach Makovsky,Dustin Ortiz,12/10/2016,S-DEC,
Derrick Lewis,Shamil Abdurakhimov,12/9/2016,KO/TKO,Punches
Francis Ngannou,Anthony Hamilton,12/9/2016,SUB,Kimura
Corey Anderson,Sean O'Connell,12/9/2016,KO/TKO,Punches
Gian Villante,Saparbeg Safarov,12/9/2016,KO/TKO,Punches
Justine Kish,Ashley Yoder,12/9/2016,U-DEC,
Randy Brown,Brian Camozzi,12/9/2016,KO/TKO,Knee
Joe Gigliotti,Gerald Meerschaert,12/9/2016,,
Andrew Sanchez,Trevor Smith,12/9/2016,U-DEC,
Tiago Trator,Shane Burgos,12/9/2016,,
Frankie Perez,Marc Diakiese,12/9/2016,U-DEC,
Keith Berish,Ryan Janes,12/9/2016,U-DEC,
Juliana Lima,JJ Aldrich,12/9/2016,U-DEC,
Demetrious Johnson,Tim Elliott,12/3/2016,U-DEC,
Joseph Benavidez,Henry Cejudo,12/3/2016,S-DEC,
Jake Ellenberger,Jorge Masvidal,12/3/2016,KO/TKO,Punches
Ion Cutelaba,Jared Cannonier,12/3/2016,U-DEC,
Sara McMann,Alexis Davis,12/3/2016,SUB,Arm Triangle
Brandon Moreno,Ryan Benoit,12/3/2016,S-DEC,
Gray Maynard,Ryan Hall,12/3/2016,U-DEC,
Rob Font,Matt Schnell,12/3/2016,KO/TKO,Punch
Dong Hyun Ma,Brendan O'Reilly,12/3/2016,U-DEC,
Kailin Curran,Jamie Moyle,12/3/2016,U-DEC,
Elvis Mutapcic,Anthony Smith,12/3/2016,KO/TKO,Elbow
Josh Stansbury,Devin Clark,12/3/2016,U-DEC,
Robert Whittaker,Derek Brunson,11/26/2016,KO/TKO,Kick
Jake Matthews,Andrew Holbrook,11/26/2016,S-DEC,
Kyle Noke,Omari Akhmedov,11/26/2016,U-DEC,
Yusuke Kasuya,Alexander Volkanovski,11/26/2016,KO/TKO,Punches
Khalil Rountree Jr.,Tyson Pedro,11/26/2016,SUB,Rear Naked Choke
Seohee Ham,Danielle Taylor,11/26/2016,,
Daniel Kelly,Chris Camozzi,11/26/2016,U-DEC,
Damien Brown,Jon Tuck,11/26/2016,S-DEC,
Richard Walsh,Jonathan Meunier,11/26/2016,U-DEC,
Ben Nguyen,Geane Herrera,11/26/2016,U-DEC,
Dan Hooker,Jason Knight,11/26/2016,U-DEC,
Marlon Vera,Ning Guangyou,11/26/2016,,
Yao Zhikui,Jenel Lausa,11/26/2016,U-DEC,
Ryan Bader,Rogerio Nogueira,11/19/2016,KO/TKO,Punches
Thomas Almeida,Albert Morales,11/19/2016,KO/TKO,Punches
Claudia Gadelha,Cortney Casey,11/19/2016,U-DEC,
Thales Leites,Krzysztof Jotko,11/19/2016,U-DEC,
Warlley Alves,Kamaru Usman,11/19/2016,U-DEC,
Sergio Moraes,Zak Ottow,11/19/2016,S-DEC,
Cezar Ferreira,Jack Hermansson,11/19/2016,SUB,Arm Triangle
Marcos Rogerio de Lima,Gadzhimurad Antigulov,11/19/2016,SUB,Guillotine Choke
Johnny Eduardo,Manvel Gamburyan,11/19/2016,KO/TKO,Punch
Luis Henrique,Christian Colombo,11/19/2016,SUB,Guillotine Choke
Pedro Munhoz,Justin Scoggins,11/19/2016,SUB,Guillotine Choke
Gegard Mousasi,Uriah Hall,11/19/2016,KO/TKO,Punches
Ross Pearson,Stevie Ray,11/19/2016,S-DEC,
Tim Johnson,Alexander Volkov,11/19/2016,,
Artem Lobov,Teruto Ishihara,11/19/2016,U-DEC,
Magnus Cedenblad,Jack Marshman,11/19/2016,KO/TKO,Punch
Kyoji Horiguchi,Ali Bagautinov,11/19/2016,U-DEC,
Kevin Lee,Magomed Mustafaev,11/19/2016,SUB,Rear Naked Choke
Anna Elmose,Amanda Cooper,11/19/2016,U-DEC,
Justin Ledet,Mark Godbeer,11/19/2016,SUB,Rear Naked Choke
Zak Cummings,Alexander Yakovlev,11/19/2016,SUB,Armbar
Marion Reneau,Milana Dudieva,11/19/2016,KO/TKO,Elbows
Brett Johns,Kwan Ho Kwak,11/19/2016,U-DEC,
Charlie Ward,Abdul Razak Alhassan,11/19/2016,KO/TKO,Punch
Eddie Alvarez,Conor McGregor,11/12/2016,KO/TKO,Punches
Joanna Jedrzejczyk,Karolina Kowalkiewicz,11/12/2016,U-DEC,
Chris Weidman,Yoel Romero,11/12/2016,KO/TKO,Flying Knee
Miesha Tate,Raquel Pennington,11/12/2016,U-DEC,
Frankie Edgar,Jeremy Stephens,11/12/2016,U-DEC,
Khabib Nurmagomedov,Michael Johnson,11/12/2016,SUB,Kimura
Rafael Natal,Tim Boetsch,11/12/2016,KO/TKO,Punches
Vicente Luque,Belal Muhammad,11/12/2016,KO/TKO,Punches
Jim Miller,Thiago Alves,11/12/2016,U-DEC,
Liz Carmouche,Katlyn Chookagian,11/12/2016,S-DEC,
Rafael Dos Anjos,Tony Ferguson,11/5/2016,U-DEC,
Diego Sanchez,Marcin Held,11/5/2016,U-DEC,
Ricardo Lamas,Charles Oliveira,11/5/2016,SUB,Guillotine Choke
Martin Bravo,Claudio Puelles,11/5/2016,KO/TKO,Punch
Beneil Dariush,Rashid Magomedov,11/5/2016,U-DEC,
Alexa Grasso,Heather Jo Clark,11/5/2016,,
Erik Perez,Felipe Arantes,11/5/2016,S-DEC,
Marco Beltran,Joe Soto,11/5/2016,SUB,Heel Hook
Erick Montano,Max Griffin,11/5/2016,KO/TKO,Punch
Henry Briones,Douglas Silva de Andrade,11/5/2016,KO/TKO,Spinning Back Fist
Sam Alvey,Alex Nicholson,11/5/2016,U-DEC,
Polo Reyes,Jason Novelli,11/5/2016,,
Enrique Barzola,Chris Avila,11/5/2016,U-DEC,
Michael Bisping,Dan Henderson,10/8/2016,U-DEC,
Vitor Belfort,Gegard Mousasi,10/8/2016,KO/TKO,Punches
Ovince Saint Preux,Jimi Manuwa,10/8/2016,KO/TKO,Punch
Stefan Struve,Daniel Omielanczuk,10/8/2016,SUB,D'Arce Choke
Mirsad Bektic,Russell Doane,10/8/2016,SUB,Rear Naked Choke
Brad Pickett,Iuri Alcantara,10/8/2016,SUB,Triangle Choke
Davey Grant,Damian Stasiak,10/8/2016,SUB,Armbar
Leon Edwards,Albert Tumenov,10/8/2016,SUB,Rear Naked Choke
Lukasz Sajewski,Marc Diakiese,10/8/2016,KO/TKO,Punches
Danny Roberts,Mike Perry,10/8/2016,KO/TKO,Knee
Leonardo Santos,Adriano Martins,10/8/2016,S-DEC,
John Lineker,John Dodson,10/1/2016,S-DEC,
Will Brooks,Alex Oliveira,10/1/2016,KO/TKO,Punches
Joshua Burkman,Zak Ottow,10/1/2016,S-DEC,
Louis Smolka,Brandon Moreno,10/1/2016,SUB,Guillotine Choke
Henrique da Silva,Joachim Christensen,10/1/2016,SUB,Armbar
Hacran Dias,Andre Fili,10/1/2016,U-DEC,
Shamil Abdurakhimov,Walt Harris,10/1/2016,S-DEC,
Keita Nakamura,Elizeu Zaleski dos Santos,10/1/2016,U-DEC,
Nate Marquardt,Tamdan McCrory,10/1/2016,KO/TKO,Kick
Jonathan Wilson,Ion Cutelaba,10/1/2016,U-DEC,
Cody East,Curtis Blaydes,10/1/2016,KO/TKO,Elbows
Kelly Faszholz,Ketlen Vieira,10/1/2016,S-DEC,
Cris Cyborg,Lina Lansberg,9/24/2016,,
Renan Barao,Phillipe Nover,9/24/2016,U-DEC,
Roy Nelson,Antonio Silva,9/24/2016,KO/TKO,Punch
Francisco Trinaldo,Paul Felder,9/24/2016,KO/TKO,
Thiago Santos,Eric Spicely,9/24/2016,SUB,Rear Naked Choke
Godofredo Pepey,Mike de la Torre,9/24/2016,SUB,Rear Naked Choke
Gilbert Burns,Michel Prazeres,9/24/2016,U-DEC,
Rani Yahya,Michinori Tanaka,9/24/2016,U-DEC,
Jussier Formiga,Dustin Ortiz,9/24/2016,U-DEC,
Erick Silva,Luan Chagas,9/24/2016,SUB,Rear Naked Choke
Alan Patrick,Stevie Ray,9/24/2016,U-DEC,
Vicente Luque,Hector Urbina,9/24/2016,KO/TKO,Punch
Glaico Franca,Gregor Gillespie,9/24/2016,,
Dustin Poirier,Michael Johnson,9/17/2016,KO/TKO,Punches
Uriah Hall,Derek Brunson,9/17/2016,KO/TKO,Punches
Evan Dunham,Rick Glenn,9/17/2016,U-DEC,
Roan Carneiro,Kenny Robertson,9/17/2016,S-DEC,
Chris Wade,Islam Makhachev,9/17/2016,U-DEC,
Chas Skelly,Maximo Blanco,9/17/2016,SUB,D'Arce Choke
Gabriel Benitez,Sam Sicilia,9/17/2016,SUB,Guillotine Choke
Augusto Montano,Belal Muhammad,9/17/2016,KO/TKO,Punches
Antonio Carlos Junior,Leonardo Augusto Leleco,9/17/2016,,
Jose Quinonez,Joey Gomez,9/17/2016,U-DEC,
Erick Montano,Randy Brown,9/17/2016,SUB,Guillotine Choke
Stipe Miocic,Alistair Overeem,9/10/2016,KO/TKO,Punch
Fabricio Werdum,Travis Browne,9/10/2016,U-DEC,
CM Punk,Mickey Gall,9/10/2016,SUB,Rear Naked Choke
Urijah Faber,Jimmie Rivera,9/10/2016,U-DEC,
Jessica Andrade,Joanne Calderwood,9/10/2016,SUB,Guillotine Choke
Jessica Eye,Bethe Correia,9/10/2016,S-DEC,
Brad Tavares,Caio Magalhaes,9/10/2016,S-DEC,
Nik Lentz,Michael McBride,9/10/2016,KO/TKO,Punches
Drew Dober,Jason Gonzalez,9/10/2016,KO/TKO,Punch
Yancy Medeiros,Sean Spencer,9/10/2016,SUB,Rear Naked Choke
Andrei Arlovski,Josh Barnett,9/3/2016,SUB,Rear Naked Choke
Alexander Gustafsson,Jan Blachowicz,9/3/2016,U-DEC,
Ryan Bader,Ilir Latifi,9/3/2016,KO/TKO,Knee
Nick Hein,Tae Hyun Bang,9/3/2016,U-DEC,
Jessin Ayari,Jimmy Wallhead,9/3/2016,,
Peter Sobotta,Nicolas Dalby,9/3/2016,U-DEC,
Ashlee Evans-Smith,Veronica Macedo,9/3/2016,KO/TKO,Elbows
Taylor Lapilus,Leandro Issa,9/3/2016,U-DEC,
Scott Askham,Jack Hermansson,9/3/2016,U-DEC,
Rustam Khabilov,Leandro Silva,9/3/2016,U-DEC,
Demian Maia,Carlos Condit,8/27/2016,SUB,Rear Naked Choke
Anthony Pettis,Charles Oliveira,8/27/2016,SUB,Guillotine Choke
Paige VanZant,Bec Rawlings,8/27/2016,KO/TKO,Kick
Joe Lauzon,Jim Miller,8/27/2016,S-DEC,
Sam Alvey,Kevin Casey,8/27/2016,KO/TKO,Punches
Enrique Barzola,Kyle Bochniak,8/27/2016,S-DEC,
Garreth McLellan,Alessio Di Chirico,8/27/2016,S-DEC,
Shane Campbell,Felipe Silva,8/27/2016,KO/TKO,Punch
Chad Laprise,Thibault Gouti,8/27/2016,KO/TKO,Punch
Jeremy Kennedy,Alessandro Ricci,8/27/2016,,
Nate Diaz,Conor McGregor,8/20/2016,M-DEC,
Anthony Johnson,Glover Teixeira,8/20/2016,KO/TKO,Punch
Rick Story,Donald Cerrone,8/20/2016,KO/TKO,Kick
Hyun Gyu Lim,Mike Perry,8/20/2016,KO/TKO,Punch
Tim Means,Sabah Homasi,8/20/2016,KO/TKO,Punches
Cody Garbrandt,Takeya Mizugaki,8/20/2016,KO/TKO,Punch
Raquel Pennington,Elizabeth Phillips,8/20/2016,U-DEC,
Artem Lobov,Chris Avila,8/20/2016,U-DEC,
Randa Markos,Cortney Casey,8/20/2016,SUB,Armbar
Neil Magny,Lorenz Larkin,8/20/2016,KO/TKO,Elbows
Colby Covington,Max Griffin,8/20/2016,KO/TKO,Punches
Alberto Uda,Marvin Vettori,8/20/2016,SUB,Guillotine Choke
Yair Rodriguez,Alex Caceres,8/6/2016,S-DEC,
Dennis Bermudez,Rony Jason,8/6/2016,U-DEC,
Thales Leites,Chris Camozzi,8/6/2016,SUB,Rear Naked Choke
Santiago Ponzinibbio,Zak Cummings,8/6/2016,U-DEC,
Trevor Smith,Joe Gigliotti,8/6/2016,,
Maryna Moroz,Danielle Taylor,8/6/2016,S-DEC,
Court McGee,Dominique Steele,8/6/2016,U-DEC,
Viktor Pesta,Marcin Tybura,8/6/2016,KO/TKO,Kick
David Teymur,Jason Novelli,8/6/2016,KO/TKO,Punches
Teruto Ishihara,Horacio Gutierrez,8/6/2016,KO/TKO,Punches
Cub Swanson,Tatsuya Kawajiri,8/6/2016,U-DEC,
Chase Sherman,Justin Ledet,8/6/2016,U-DEC,
Robbie Lawler,Tyron Woodley,7/30/2016,KO/TKO,Punch
Rose Namajunas,Karolina Kowalkiewicz,7/30/2016,S-DEC,
Matt Brown,Jake Ellenberger,7/30/2016,KO/TKO,Kick
Francisco Rivera,Erik Perez,7/30/2016,U-DEC,
Ryan Benoit,Fredy Serrano,7/30/2016,S-DEC,
Nikita Krylov,Ed Herman,7/30/2016,KO/TKO,Kick
Ross Pearson,Jorge Masvidal,7/30/2016,U-DEC,
Anthony Hamilton,Damian Grabowski,7/30/2016,KO/TKO,Punches
Wilson Reis,Hector Sandoval,7/30/2016,SUB,Rear Naked Choke
Cesar Arzamendia,Damien Brown,7/30/2016,KO/TKO,Punches
Holly Holm,Valentina Shevchenko,7/23/2016,U-DEC,
Edson Barboza,Gilbert Melendez,7/23/2016,U-DEC,
Francis Ngannou,Bojan Mihajlovic,7/23/2016,KO/TKO,Punches
Felice Herrig,Kailin Curran,7/23/2016,SUB,Rear Naked Choke
Frankie Saenz,Eddie Wineland,7/23/2016,KO/TKO,Punches
Darren Elkins,Godofredo Pepey,7/23/2016,U-DEC,
Kamaru Usman,Alexander Yakovlev,7/23/2016,U-DEC,
Michel Prazeres,JC Cottrell,7/23/2016,U-DEC,
Alex Oliveira,James Moontasri,7/23/2016,U-DEC,
Jim Alers,Jason Knight,7/23/2016,S-DEC,
Luis Henrique,Dmitrii Smoliakov,7/23/2016,SUB,Rear Naked Choke
Michael McDonald,John Lineker,7/13/2016,KO/TKO,Punch
Tony Ferguson,Lando Vannata,7/13/2016,SUB,D'Arce Choke
Tim Boetsch,Josh Samman,7/13/2016,KO/TKO,Punches
Aleksei Oleinik,Daniel Omielanczuk,7/13/2016,M-DEC,
Kyle Noke,Keita Nakamura,7/13/2016,SUB,Rear Naked Choke
Louis Smolka,Ben Nguyen,7/13/2016,KO/TKO,Elbows
Lauren Murphy,Katlyn Chookagian,7/13/2016,U-DEC,
Eric Spicely,Sam Alvey,7/13/2016,SUB,Guillotine Choke
Cortney Casey,Cristina Stanciu,7/13/2016,KO/TKO,Elbows
Scott Holtzman,Cody Pfister,7/13/2016,U-DEC,
Rani Yahya,Matthew Lopez,7/13/2016,SUB,Arm Triangle
Devin Clark,Alex Nicholson,7/13/2016,KO/TKO,Punch
Miesha Tate,Amanda Nunes,7/9/2016,SUB,Rear Naked Choke
Daniel Cormier,Anderson Silva,7/9/2016,U-DEC,
Jose Aldo,Frankie Edgar,7/9/2016,U-DEC,
Cain Velasquez,Travis Browne,7/9/2016,KO/TKO,Punches
Cat Zingano,Julianna Pena,7/9/2016,U-DEC,
Johny Hendricks,Kelvin Gastelum,7/9/2016,U-DEC,
TJ Dillashaw,Raphael Assuncao,7/9/2016,U-DEC,
Sage Northcutt,Enrique Marin,7/9/2016,U-DEC,
Diego Sanchez,Joe Lauzon,7/9/2016,KO/TKO,Punches
Gegard Mousasi,Thiago Santos,7/9/2016,KO/TKO,Punch
Jim Miller,Takanori Gomi,7/9/2016,KO/TKO,Punches
Joanna Jedrzejczyk,Claudia Gadelha,7/8/2016,U-DEC,
Andrew Sanchez,Khalil Rountree Jr.,7/8/2016,U-DEC,
Tatiana Suarez,Amanda Cooper,7/8/2016,SUB,D'Arce Choke
Ross Pearson,Will Brooks,7/8/2016,U-DEC,
Dooho Choi,Thiago Tavares,7/8/2016,KO/TKO,Punch
Joaquim Silva,Andrew Holbrook,7/8/2016,KO/TKO,Punch
Gray Maynard,Fernando Bruno,7/8/2016,U-DEC,
John Moraga,Matheus Nicolau,7/8/2016,,
Cory Hendricks,Josh Stansbury,7/8/2016,M-DEC,
Cezar Ferreira,Anthony Smith,7/8/2016,U-DEC,
Jake Matthews,Kevin Lee,7/8/2016,KO/TKO,Punches
Li Jingliang,Anton Zafir,7/8/2016,,
Rafael Dos Anjos,Eddie Alvarez,7/7/2016,KO/TKO,Punches
Roy Nelson,Derrick Lewis,7/7/2016,S-DEC,
Alan Jouban,Belal Muhammad,7/7/2016,U-DEC,
Joe Duffy,Mitch Clarke,7/7/2016,SUB,Rear Naked Choke
Mike Pyle,Alberto Mina,7/7/2016,KO/TKO,Flying Knee
John Makdessi,Mehdi Baghdad,7/7/2016,S-DEC,
Anthony Birchak,Dileno Lopes,7/7/2016,S-DEC,
Russell Doane,Pedro Munhoz,7/7/2016,SUB,Guillotine Choke
Felipe Arantes,Jerrod Sanders,7/7/2016,SUB,Armbar
Gilbert Burns,Lukasz Sajewski,7/7/2016,SUB,Armbar
Marco Beltran,Reginaldo Vieira,7/7/2016,SUB,Rear Naked Choke
Vicente Luque,Alvaro Herrera,7/7/2016,,
Rory MacDonald,Stephen Thompson,6/18/2016,U-DEC,
Donald Cerrone,Patrick Cote,6/18/2016,KO/TKO,Punches
Steve Bosse,Sean O'Connell,6/18/2016,U-DEC,
Olivier Aubin-Mercier,Thibault Gouti,6/18/2016,SUB,Rear Naked Choke
Valerie Letourneau,Joanne Calderwood,6/18/2016,KO/TKO,Kick
Jason Saggo,Leandro Silva,6/18/2016,S-DEC,
Misha Cirkunov,Ion Cutelaba,6/18/2016,SUB,Arm Triangle
Tamdan McCrory,Krzysztof Jotko,6/18/2016,KO/TKO,Punch
Chris Beal,Joe Soto,6/18/2016,SUB,Rear Naked Choke
Elias Theodorou,Sam Alvey,6/18/2016,U-DEC,
Randa Markos,Jocelyn Jones-Lybarger,6/18/2016,U-DEC,
Colby Covington,Jonathan Meunier,6/18/2016,SUB,Rear Naked Choke
Ali Bagautinov,Geane Herrera,6/18/2016,U-DEC,
Luke Rockhold,Michael Bisping,6/4/2016,KO/TKO,Punch
Dominick Cruz,Urijah Faber,6/4/2016,U-DEC,
Max Holloway,Ricardo Lamas,6/4/2016,U-DEC,
Dan Henderson,Hector Lombard,6/4/2016,KO/TKO,Elbow
Dustin Poirier,Bobby Green,6/4/2016,KO/TKO,Punch
Brian Ortega,Clay Guida,6/4/2016,KO/TKO,Knee
Beneil Dariush,James Vick,6/4/2016,KO/TKO,Punch
Jessica Penne,Jessica Andrade,6/4/2016,KO/TKO,Punches
Cole Miller,Alex Caceres,6/4/2016,U-DEC,
Sean Strickland,Tom Breese,6/4/2016,S-DEC,
Jonathan Wilson,Henrique da Silva,6/4/2016,KO/TKO,Punches
Polo Reyes,Dong Hyun Ma,6/4/2016,,
Thomas Almeida,Cody Garbrandt,5/29/2016,KO/TKO,Punches
